Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,181,4,Some Random Commen with Id 0
1,0,3,143,3,Some Random Commen with Id 1
2,0,3,1,3,Some Random Commen with Id 2
3,0,3,17,4,Some Random Commen with Id 3
4,1,9,149,4,Some Random Commen with Id 4
5,1,9,43,1,Some Random Commen with Id 5
6,1,9,45,8,Some Random Commen with Id 6
7,2,5,126,3,Some Random Commen with Id 7
8,2,5,138,6,Some Random Commen with Id 8
9,2,5,27,8,Some Random Commen with Id 9
10,2,5,193,1,Some Random Commen with Id 10
11,2,5,55,9,Some Random Commen with Id 11
12,2,5,132,5,Some Random Commen with Id 12
13,2,5,119,1,Some Random Commen with Id 13
14,2,5,119,2,Some Random Commen with Id 14
15,3,2,99,0,Some Random Commen with Id 15
16,3,2,54,2,Some Random Commen with Id 16
17,3,2,49,9,Some Random Commen with Id 17
18,3,2,192,2,Some Random Commen with Id 18
19,3,2,146,8,Some Random Commen with Id 19
20,3,2,142,5,Some Random Commen with Id 20
21,3,2,40,7,Some Random Commen with Id 21
22,3,2,109,6,Some Random Commen with Id 22
23,4,5,179,0,Some Random Commen with Id 23
24,4,5,38,3,Some Random Commen with Id 24
25,4,5,40,6,Some Random Commen with Id 25
26,4,5,51,1,Some Random Commen with Id 26
27,6,8,162,7,Some Random Commen with Id 27
28,6,8,5,4,Some Random Commen with Id 28
29,6,8,78,5,Some Random Commen with Id 29
30,7,0,164,2,Some Random Commen with Id 30
31,8,8,89,8,Some Random Commen with Id 31
32,8,8,69,8,Some Random Commen with Id 32
33,8,8,131,7,Some Random Commen with Id 33
34,8,8,26,0,Some Random Commen with Id 34
35,8,8,112,6,Some Random Commen with Id 35
36,8,8,23,1,Some Random Commen with Id 36
37,9,1,89,6,Some Random Commen with Id 37
38,9,1,16,2,Some Random Commen with Id 38
39,9,1,30,7,Some Random Commen with Id 39
40,10,7,186,8,Some Random Commen with Id 40
41,10,7,182,6,Some Random Commen with Id 41
42,10,7,176,5,Some Random Commen with Id 42
43,10,7,199,7,Some Random Commen with Id 43
44,10,7,74,9,Some Random Commen with Id 44
45,11,8,46,5,Some Random Commen with Id 45
46,11,8,45,1,Some Random Commen with Id 46
47,11,8,109,7,Some Random Commen with Id 47
48,11,8,144,6,Some Random Commen with Id 48
49,11,8,24,3,Some Random Commen with Id 49
50,12,5,177,1,Some Random Commen with Id 50
51,12,5,25,0,Some Random Commen with Id 51
52,12,5,35,4,Some Random Commen with Id 52
53,12,5,34,0,Some Random Commen with Id 53
54,12,5,119,7,Some Random Commen with Id 54
55,12,5,122,4,Some Random Commen with Id 55
56,12,5,149,1,Some Random Commen with Id 56
57,13,4,75,4,Some Random Commen with Id 57
58,13,4,128,6,Some Random Commen with Id 58
59,13,4,93,8,Some Random Commen with Id 59
60,13,4,70,4,Some Random Commen with Id 60
